AoA,AirSpeed,Moment,Cm
0,0.1,-0.010344000000000002,-0.1
0,0.2,-0.04137600000000001,-0.1
0,0.30000000000000004,-0.09309600000000003,-0.1
0,0.4,-0.16550400000000004,-0.1
0,0.5,-0.2586,-0.1
0,0.6,-0.372384,-0.1
0,0.7,-0.5068559999999999,-0.1
0,0.7999999999999999,-0.6620159999999999,-0.1
0,0.8999999999999999,-0.8378639999999997,-0.1
0,0.9999999999999999,-1.0343999999999998,-0.1
0,1.0999999999999999,-1.2516239999999996,-0.1
0,1.2,-1.489536,-0.1
0,1.3,-1.7481360000000004,-0.1
0,1.4000000000000001,-2.0274240000000003,-0.1
0,1.5000000000000002,-2.327400000000001,-0.1
0,1.6000000000000003,-2.648064000000001,-0.1
0,1.7000000000000004,-2.9894160000000016,-0.1
0,1.8000000000000005,-3.351456000000002,-0.1
0,1.9000000000000006,-3.734184000000002,-0.1
0,2.0000000000000004,-4.137600000000002,-0.1
0,2.1000000000000005,-4.5617040000000015,-0.1
0,2.2000000000000006,-5.006496000000002,-0.1
0,2.3000000000000007,-5.471976000000004,-0.1
0,2.400000000000001,-5.958144000000004,-0.1
0,2.500000000000001,-6.465000000000005,-0.1
0,2.600000000000001,-6.992544000000006,-0.1
0,2.700000000000001,-7.5407760000000055,-0.1
0,2.800000000000001,-8.109696000000005,-0.1
0,2.9000000000000012,-8.699304000000007,-0.1
0,3.0000000000000013,-9.309600000000009,-0.1
0,3.1000000000000014,-9.940584000000008,-0.1
0,3.2000000000000015,-10.59225600000001,-0.1
0,3.3000000000000016,-11.26461600000001,-0.1
0,3.4000000000000017,-11.957664000000012,-0.1
0,3.5000000000000018,-12.671400000000013,-0.1
0,3.600000000000002,-13.405824000000013,-0.1
0,3.700000000000002,-14.160936000000014,-0.1
0,3.800000000000002,-14.936736000000018,-0.1
0,3.900000000000002,-15.733224000000016,-0.1
0,4.000000000000002,-16.550400000000014,-0.1
0,4.100000000000001,-17.388264000000014,-0.1
0,4.200000000000001,-18.246816000000006,-0.1
0,4.300000000000001,-19.126056000000005,-0.1
0,4.4,-20.025984000000005,-0.1
0,4.5,-20.9466,-0.1
0,4.6,-21.887903999999995,-0.1
0,4.699999999999999,-22.849895999999994,-0.1
0,4.799999999999999,-23.83257599999999,-0.1
0,4.899999999999999,-24.835943999999987,-0.1
0,4.999999999999998,-25.85999999999998,-0.1
0,5.099999999999998,-26.90474399999998,-0.1
0,5.1999999999999975,-27.97017599999997,-0.1
0,5.299999999999997,-29.05629599999997,-0.1
0,5.399999999999997,-30.163103999999965,-0.1
0,5.4999999999999964,-31.290599999999955,-0.1
0,5.599999999999996,-32.438783999999956,-0.1
0,5.699999999999996,-33.60765599999995,-0.1
0,5.799999999999995,-34.79721599999994,-0.1
0,5.899999999999995,-36.007463999999935,-0.1
0,5.999999999999995,-37.238399999999935,-0.1
0,6.099999999999994,-38.49002399999993,-0.1
0,6.199999999999994,-39.76233599999992,-0.1
0,6.299999999999994,-41.05533599999992,-0.1
0,6.399999999999993,-42.36902399999991,-0.1
0,6.499999999999993,-43.7033999999999,-0.1
0,6.5999999999999925,-45.0584639999999,-0.1
0,6.699999999999992,-46.43421599999989,-0.1
0,6.799999999999992,-47.830655999999884,-0.1
0,6.8999999999999915,-49.24778399999988,-0.1
0,6.999999999999991,-50.685599999999866,-0.1
0,7.099999999999991,-52.14410399999986,-0.1
0,7.19999999999999,-53.62329599999986,-0.1
0,7.29999999999999,-55.12317599999986,-0.1
0,7.39999999999999,-56.64374399999985,-0.1
0,7.499999999999989,-58.18499999999983,-0.1
0,7.599999999999989,-59.74694399999983,-0.1
0,7.699999999999989,-61.32957599999982,-0.1
0,7.799999999999988,-62.932895999999815,-0.1
0,7.899999999999988,-64.5569039999998,-0.1
0,7.999999999999988,-66.2015999999998,-0.1
0,8.099999999999987,-67.86698399999977,-0.1
0,8.199999999999987,-69.55305599999977,-0.1
0,8.299999999999986,-71.25981599999976,-0.1
0,8.399999999999986,-72.98726399999974,-0.1
0,8.499999999999986,-74.73539999999974,-0.1
0,8.599999999999985,-76.50422399999974,-0.1
0,8.699999999999985,-78.29373599999974,-0.1
0,8.799999999999985,-80.10393599999972,-0.1
0,8.899999999999984,-81.93482399999971,-0.1
0,8.999999999999984,-83.7863999999997,-0.1
0,9.099999999999984,-85.6586639999997,-0.1
0,9.199999999999983,-87.55161599999968,-0.1
0,9.299999999999983,-89.46525599999967,-0.1
0,9.399999999999983,-91.39958399999966,-0.1
0,9.499999999999982,-93.35459999999965,-0.1
0,9.599999999999982,-95.33030399999964,-0.1
0,9.699999999999982,-97.32669599999963,-0.1
0,9.799999999999981,-99.34377599999962,-0.1
0,9.89999999999998,-101.38154399999961,-0.1
0,9.99999999999998,-103.4399999999996,-0.1
0,10.09999999999998,-105.51914399999959,-0.1
0,10.19999999999998,-107.61897599999958,-0.1
0,10.29999999999998,-109.73949599999956,-0.1
0,10.399999999999979,-111.88070399999957,-0.1
0,10.499999999999979,-114.04259999999952,-0.1
0,10.599999999999978,-116.22518399999952,-0.1
0,10.699999999999978,-118.42845599999951,-0.1
0,10.799999999999978,-120.6524159999995,-0.1
0,10.899999999999977,-122.89706399999949,-0.1
0,10.999999999999977,-125.16239999999947,-0.1
0,11.099999999999977,-127.44842399999946,-0.1
0,11.199999999999976,-129.75513599999945,-0.1
0,11.299999999999976,-132.08253599999944,-0.1
0,11.399999999999975,-134.43062399999943,-0.1
0,11.499999999999975,-136.7993999999994,-0.1
0,11.599999999999975,-139.18886399999937,-0.1
0,11.699999999999974,-141.59901599999938,-0.1
0,11.799999999999974,-144.02985599999937,-0.1
0,11.899999999999974,-146.48138399999937,-0.1
0,11.999999999999973,-148.95359999999934,-0.1
0,12.099999999999973,-151.44650399999932,-0.1
0,12.199999999999973,-153.9600959999993,-0.1
0,12.299999999999972,-156.4943759999993,-0.1
0,12.399999999999972,-159.04934399999928,-0.1
0,12.499999999999972,-161.62499999999926,-0.1
0,12.599999999999971,-164.22134399999925,-0.1
0,12.69999999999997,-166.83837599999924,-0.1
0,12.79999999999997,-169.47609599999922,-0.1
0,12.89999999999997,-172.1345039999992,-0.1
0,12.99999999999997,-174.81359999999918,-0.1
0,13.09999999999997,-177.51338399999918,-0.1
0,13.199999999999969,-180.23385599999915,-0.1
0,13.299999999999969,-182.97501599999913,-0.1
0,13.399999999999968,-185.73686399999912,-0.1
0,13.499999999999968,-188.5193999999991,-0.1
0,13.599999999999968,-191.3226239999991,-0.1
0,13.699999999999967,-194.1465359999991,-0.1
0,13.799999999999967,-196.99113599999907,-0.1
0,13.899999999999967,-199.85642399999904,-0.1
0,13.999999999999966,-202.74239999999904,-0.1
0,14.099999999999966,-205.64906399999902,-0.1
0,14.199999999999966,-208.57641599999897,-0.1
0,14.299999999999965,-211.52445599999896,-0.1
0,14.399999999999965,-214.49318399999893,-0.1
0,14.499999999999964,-217.4825999999989,-0.1
0,14.599999999999964,-220.49270399999892,-0.1
0,14.699999999999964,-223.5234959999989,-0.1
0,14.799999999999963,-226.57497599999888,-0.1
0,14.899999999999963,-229.64714399999886,-0.1
0,14.999999999999963,-232.73999999999884,-0.1
0,15.099999999999962,-235.8535439999988,-0.1
0,15.199999999999962,-238.9877759999988,-0.1
0,15.299999999999962,-242.1426959999988,-0.1
0,15.399999999999961,-245.31830399999876,-0.1
0,15.499999999999961,-248.51459999999872,-0.1
0,15.59999999999996,-251.73158399999872,-0.1
0,15.69999999999996,-254.96925599999872,-0.1
0,15.79999999999996,-258.2276159999987,-0.1
0,15.89999999999996,-261.5066639999987,-0.1
0,15.99999999999996,-264.80639999999863,-0.1
0,16.09999999999996,-268.12682399999863,-0.1
0,16.19999999999996,-271.46793599999864,-0.1
0,16.29999999999996,-274.8297359999987,-0.1
0,16.399999999999963,-278.21222399999874,-0.1
0,16.499999999999964,-281.6153999999988,-0.1
0,16.599999999999966,-285.0392639999988,-0.1
0,16.699999999999967,-288.48381599999885,-0.1
0,16.79999999999997,-291.9490559999989,-0.1
0,16.89999999999997,-295.43498399999896,-0.1
0,16.99999999999997,-298.94159999999897,-0.1
0,17.099999999999973,-302.46890399999904,-0.1
0,17.199999999999974,-306.0168959999991,-0.1
0,17.299999999999976,-309.58557599999915,-0.1
0,17.399999999999977,-313.1749439999992,-0.1
0,17.49999999999998,-316.78499999999923,-0.1
0,17.59999999999998,-320.4157439999993,-0.1
0,17.69999999999998,-324.06717599999934,-0.1
0,17.799999999999983,-327.7392959999994,-0.1
0,17.899999999999984,-331.43210399999947,-0.1
0,17.999999999999986,-335.1455999999995,-0.1
0,18.099999999999987,-338.8797839999995,-0.1
0,18.19999999999999,-342.6346559999996,-0.1
0,18.29999999999999,-346.41021599999965,-0.1
0,18.39999999999999,-350.20646399999964,-0.1
0,18.499999999999993,-354.0233999999997,-0.1
0,18.599999999999994,-357.8610239999998,-0.1
0,18.699999999999996,-361.7193359999998,-0.1
0,18.799999999999997,-365.5983359999999,-0.1
0,18.9,-369.49802399999993,-0.1
0,19.0,-373.4184,-0.1
0,19.1,-377.35946400000006,-0.1
0,19.200000000000003,-381.3212160000001,-0.1
0,19.300000000000004,-385.3036560000002,-0.1
0,19.400000000000006,-389.3067840000003,-0.1
0,19.500000000000007,-393.3306000000003,-0.1
0,19.60000000000001,-397.3751040000003,-0.1
0,19.70000000000001,-401.4402960000004,-0.1
0,19.80000000000001,-405.52617600000053,-0.1
0,19.900000000000013,-409.63274400000046,-0.1
0,20.000000000000014,-413.7600000000006,-0.1
0,20.100000000000016,-417.9079440000006,-0.1
0,20.200000000000017,-422.07657600000067,-0.1
0,20.30000000000002,-426.2658960000008,-0.1
0,20.40000000000002,-430.4759040000008,-0.1
0,20.50000000000002,-434.7066000000009,-0.1
0,20.600000000000023,-438.957984000001,-0.1
0,20.700000000000024,-443.230056000001,-0.1
0,20.800000000000026,-447.52281600000106,-0.1
0,20.900000000000027,-451.83626400000117,-0.1
0,21.00000000000003,-456.1704000000013,-0.1
0,21.10000000000003,-460.52522400000134,-0.1
0,21.20000000000003,-464.90073600000136,-0.1
0,21.300000000000033,-469.2969360000015,-0.1
0,21.400000000000034,-473.7138240000015,-0.1
0,21.500000000000036,-478.15140000000156,-0.1
0,21.600000000000037,-482.60966400000166,-0.1
0,21.70000000000004,-487.08861600000176,-0.1
0,21.80000000000004,-491.58825600000176,-0.1
0,21.90000000000004,-496.1085840000019,-0.1
0,22.000000000000043,-500.64960000000195,-0.1
0,22.100000000000044,-505.21130400000203,-0.1
0,22.200000000000045,-509.7936960000021,-0.1
0,22.300000000000047,-514.3967760000022,-0.1
0,22.40000000000005,-519.0205440000021,-0.1
0,22.50000000000005,-523.6650000000022,-0.1
0,22.60000000000005,-528.3301440000024,-0.1
0,22.700000000000053,-533.0159760000024,-0.1
0,22.800000000000054,-537.7224960000025,-0.1
0,22.900000000000055,-542.4497040000027,-0.1
0,23.000000000000057,-547.1976000000027,-0.1
0,23.10000000000006,-551.9661840000028,-0.1
0,23.20000000000006,-556.7554560000028,-0.1
0,23.30000000000006,-561.565416000003,-0.1
0,23.400000000000063,-566.396064000003,-0.1
0,23.500000000000064,-571.247400000003,-0.1
0,23.600000000000065,-576.1194240000032,-0.1
0,23.700000000000067,-581.0121360000032,-0.1
0,23.800000000000068,-585.9255360000033,-0.1
0,23.90000000000007,-590.8596240000035,-0.1
0,24.00000000000007,-595.8144000000035,-0.1
0,24.100000000000072,-600.7898640000036,-0.1
0,24.200000000000074,-605.7860160000038,-0.1
0,24.300000000000075,-610.8028560000038,-0.1
0,24.400000000000077,-615.840384000004,-0.1
0,24.500000000000078,-620.8986000000041,-0.1
0,24.60000000000008,-625.977504000004,-0.1
0,24.70000000000008,-631.0770960000041,-0.1
0,24.800000000000082,-636.1973760000042,-0.1
0,24.900000000000084,-641.3383440000043,-0.1
0,25.000000000000085,-646.5000000000043,-0.1
0,25.100000000000087,-651.6823440000044,-0.1
0,25.200000000000088,-656.8853760000046,-0.1
0,25.30000000000009,-662.1090960000047,-0.1
0,25.40000000000009,-667.3535040000048,-0.1
0,25.500000000000092,-672.6186000000048,-0.1
0,25.600000000000094,-677.9043840000049,-0.1
0,25.700000000000095,-683.2108560000052,-0.1
0,25.800000000000097,-688.5380160000052,-0.1
0,25.900000000000098,-693.8858640000053,-0.1
0,26.0000000000001,-699.2544000000054,-0.1
0,26.1000000000001,-704.6436240000054,-0.1
0,26.200000000000102,-710.0535360000056,-0.1
0,26.300000000000104,-715.4841360000057,-0.1
0,26.400000000000105,-720.9354240000058,-0.1
0,26.500000000000107,-726.407400000006,-0.1
0,26.600000000000108,-731.900064000006,-0.1
0,26.70000000000011,-737.4134160000061,-0.1
0,26.80000000000011,-742.9474560000061,-0.1
0,26.900000000000112,-748.5021840000063,-0.1
0,27.000000000000114,-754.0776000000064,-0.1
0,27.100000000000115,-759.6737040000064,-0.1
0,27.200000000000117,-765.2904960000064,-0.1
0,27.300000000000118,-770.9279760000067,-0.1
0,27.40000000000012,-776.5861440000068,-0.1
0,27.50000000000012,-782.2650000000068,-0.1
0,27.600000000000122,-787.9645440000069,-0.1
0,27.700000000000124,-793.6847760000071,-0.1
0,27.800000000000125,-799.4256960000072,-0.1
